review_type,university,field_of_research,researcher_id,researcher_name,publication_id,title,review_reason,source_url
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-b722523861a72197,Spatial variability and temporal patterns of internal price of carbon: A transitional management perspective,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/spatial-variability-and-temporal-patterns-of-internal-price-of-ca/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-22cf50658f0db59a,The influence of corporate governance on the performance of family-controlled firms: Exploring the effects of legal jurisdiction,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/the-influence-of-corporate-governance-on-the-performance-of-famil/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-e44172c0a29f3edf,Do auditors price litigious tone?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/do-auditors-price-litigious-tone/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-076e255cc8fbe023,Does sustainability reporting promote university ranking? Australian and New Zealand evidence,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/does-sustainability-reporting-promote-university-ranking-australi/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-aa24c09c4ba5d452,"Other comprehensive income, corporate governance, and firm performance in China",Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/other-comprehensive-income-corporate-governance-and-firm-performa/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-8c8807c4328c5927,Web-Crawling Architecture in Accounting and Finance Research,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/web-crawling-architecture-in-accounting-and-finance-research/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-6426f108b8a8f059,Can CSR Disclosure Protect Firm Reputation During Financial Restatements?,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/can-csr-disclosure-protect-firm-reputation-during-financial-resta/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-3f2d96db3c18ddae,Digital corporate reporting and value relevance: evidence from the US and Japan,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/digital-corporate-reporting-and-value-relevance-evidence-from-the/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-9341f25c9978cdce,Information processing costs and stock price informativeness: Evidence from the XBRL mandate,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/information-processing-costs-and-stock-price-informativeness-evid/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-3650943e8fd46e51,"Managerial ownership, audit committees and non-audit services",Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/managerial-ownership-audit-committees-and-non-audit-services/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-655ab59481f8226d,The effect of mandatory XBRL and IFRS adoption and audit fees: Evidence from the Shanghai Stock Exchange,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/the-effect-of-mandatory-xbrl-and-ifrs-adoption-and-audit-fees-evi/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-58c8d67af929b472,An Empirical Analysis of the Effect of Internationalization on the Performance of Unlisted Family and Nonfamily Firms in Australia,Official/OpenAlex metadata conflict: year,https://research-repository.uwa.edu.au/en/publications/an-empirical-analysis-of-the-effect-of-internationalization-on-th/
publication_relationship,The University of Western Australia,Accounting,uwa-accounting-007,George Shan,uwa-pub-d8790b3ad005bd79,Can Internal Governance Mechanisms Prevent Asset Appropriation? Examination of Type I Tunneling in China,Official/OpenAlex metadata conflict: title,https://research-repository.uwa.edu.au/en/publications/can-internal-governance-mechanisms-prevent-asset-appropriation-ex/
