name,job_title,academic_level,field_of_research,profile_url,university,orcid,title,doi,author_count,year,article_url,source,citation_percentile,journal_name,issn,quality_rank,impact_factor
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,The Influence of Performance Measurement on the Processual Dynamics of Strategic Change,10.1287/mnsc.2019.3442,3,2021,https://doi.org/10.1287/mnsc.2019.3442,minerva,,Management science,0025-1909,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,Expertise and Discretionary Bonus Decisions,10.1287/mnsc.2018.3172,3,2020,https://doi.org/10.1287/mnsc.2018.3172,minerva,,Management science,0025-1909,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,"Group Identity, Performance Transparency, and Employee Performance",10.2308/accr-52652,3,2020,https://doi.org/10.2308/accr-52652,minerva,,Accounting Review,0001-4826,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,"The Relation between Strategy, CEO Selection, and Firm Performance",10.1111/1911-3846.12463,3,2019,https://doi.org/10.1111/1911-3846.12463,minerva,,Contemporary Accounting Research,0823-9150,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,Leadership and control system design,10.1016/j.mar.2009.10.002,3,2010,https://doi.org/10.1016/j.mar.2009.10.002,minerva,,Management Accounting Research,1044-5005,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,"Accounting and Control in Health Care: Behavioural, Organisational, Sociological and Critical Perspectives",10.1016/s1751-3243(06)02014-1,4,2006,https://doi.org/10.1016/s1751-3243(06)02014-1,minerva,,Handbooks of Management Accounting Research,,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,A multi-method approach to building causal performance maps from expert knowledge,10.1016/j.mar.2005.03.003,5,2005,https://doi.org/10.1016/j.mar.2005.03.003,minerva,,Management Accounting Research,1044-5005,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,Determinants of control system design in divisionalized firms,10.2308/accr.2004.79.3.545,3,2004,https://doi.org/10.2308/accr.2004.79.3.545,minerva,,Accounting Review,0001-4826,,
Margaret Abernethy,Sir Douglas Copland Chair of Commerce,E,Accounting,https://findanexpert.unimelb.edu.au/profile/14551,UNIMELB,0000-0002-1244-7593,"Power, organization design and managerial behaviour",10.1016/s0361-3682(03)00049-7,2,2004,https://doi.org/10.1016/s0361-3682(03)00049-7,minerva,,"Accounting, Organizations and Society",0361-3682,,
Martin Weisner,Senior Lecturer,C,Accounting,https://findanexpert.unimelb.edu.au/profile/796580,UNIMELB,0000-0003-1702-6277,Can multitasking influence professional scepticism?,10.1111/acfi.12627,3,2021,https://doi.org/10.1111/acfi.12627,minerva,,Accounting and Finance,0810-5391,,
