issn,issn_online,title,for_code,quality_rank,abdc_edition
10743529,14657287,Contemporary Economic Policy,3801,B,2025
20840845,23008814,Contemporary Economics,3899,C,2025
00943061,19398638,Contemporary Sociology,3507,C,2025
26538350,,Contract and Commercial Law Review,4801,C,2025
02775921,14643588,Contributions to Political Economy,3801,B,2025
23001240,23003065,Copernican Journal of Finance & Accounting,3501,C,2025
08863520,,Copyright Society of the USA Journal,4801,B,2025
19389655,19389663,Cornell Hospitality Quarterly,3504,A,2025
00108812,,Cornell International Law Journal,4801,B,2025
00108847,,Cornell Law Review,4801,A*,2025
07468652,,Corporate Board,4801,C,2025
13563289,17586046,Corporate Communications,3506,B,2025
1089327X,,Corporate Finance Review,3502,C,2025
14720701,17586054,Corporate Governance,3507,B,2025
10289666,,Corporate Governance International,4801,B,2025
09648410,14678683,Corporate Governance: an international review,3507,A,2025
13633589,14791889,Corporate Reputation Review,3507,C,2025
15353958,15353966,Corporate Social Responsibility and Environmental Management,3507,C,2025
1534715X,,Corporate Taxation,4801,C,2025
,14787547,Cost Effectiveness and Resource Allocation,3801,C,2025
10928057,,Cost Management,3501,C,2025
09631690,14678691,Creativity and Innovation Management,3507,B,2025
21991227,21991235,Credit and Capital Markets,3803,C,2025
09254994,15730751,"Crime, Law and Social Change",4801,B,2025
14672715,14726033,Critical Asian Studies,3599,B,2025
17405904,17405912,Critical Discourse Studies,3599,B,2025
21645744,21645760,Critical Finance Review,3502,A*,2025
10452354,10959955,Critical Perspectives on Accounting,3501,A,2025
17422043,17586062,Critical Perspectives on International Business,3507,B,2025
15295036,14795809,Critical Studies in Media Communication,3599,C,2025
20595794,,Cross Cultural & Strategic Management,3507,B,2025
10999809,19390106,Cultural Diversity and Ethnic Minority Psychology,3507,B,2025
14693690,09548963,Cultural Trends,3504,B,2025
14759551,14772760,Culture and Organization,3507,B,2025
,19361270,Current Issues in Auditing,3501,B,2025
13683500,17477603,Current Issues in Tourism,3508,A,2025
00701998,,Current Legal Problems,4801,A,2025
10572309,,Current Politics and Economics of Europe,3801,C,2025
22035028,,Curtin Law and Taxation Review,4801,B,2025
