researcher_name,title,journal_name,year,article_url,publication_type
Jo Drienko,A skew is a skill: Portfolio skewness of mutual fund holdings,Journal of Empirical Finance,2026,https://www.sciencedirect.com/science/article/pii/S0927539826000022,journal_article
Jo Drienko,"A portfolio-level, sum-of-the-parts approach to return predictability",Journal of Empirical Finance,2024,https://www.sciencedirect.com/science/article/abs/pii/S0927539824000604?CMX_ID=&SIS_ID=&dgcid=STMJ_219742_AUTH_SERV_PA&utm_acid=84391522&utm_campaign=STMJ_219742_AUTH_SERV_PA&utm_in=DM495864&utm_medium=email&utm_source=AC_,journal_article
Jo Drienko,Dividend hibernation and future earnings: When no dividend news is good news,Journal of Corporate Finance,2023,https://www.sciencedirect.com/science/article/pii/S0929119923001517,journal_article
Jo Drienko,A review of the return-illiquidity relationship,Critical Finance Review,2019,https://www.nowpublishers.com/article/Details/CFR-0052,journal_article
Jo Drienko,Company responses to exchange queries in real time,Pacific-Basin Finance Journal,2017,https://www.sciencedirect.com/science/article/pii/S0927538X16301019?via%3Dihub,journal_article
Jo Drienko,The intraday impact of company responses to exchange queries,Journal of Banking and Finance,2013,https://www.sciencedirect.com/science/article/abs/pii/S0378426613003427,journal_article
Chao Gao,Fund Selection and Style Allocation Abilities: Evidence from Funds of Hedge Funds’ Holdings,Financial Management,,,journal_article
Chao Gao,Anticipating Uncertainty: Straddles Around Earnings Announcements,Journal of Financial and Quantitative Analysis,2018,,journal_article
Chao Gao,Investment Performance of Credit Risk Transfer Securities (CRTs): The Early Evidence,Journal of Fixed Income,2018,,journal_article
Lin Hu,Electoral Accountability and Selection with Personalized Information Aggregation,Games and Economic Behavior,2023,,journal_article
Lin Hu,The Politics of News Personalization,Journal of Political Economy Microeconomics,2023,,journal_article
Lin Hu,Competition and Distortion: A Theory of Information Bias on the Peer-to-Peer Lending Market,Information Systems Research,2021,,journal_article
Dean Katselas,Insider trading footprints: An empirical look at detected cases in Australia,International Review of Finance,2025,,journal_article
Dean Katselas,"A portfolio-level, sum-of-the-parts approach to return predictability",Journal of Empirical Finance,2024,,journal_article
Dean Katselas,Strategic Insider Trading around Earnings Announcements in Australia,Accounting & Finance,2020,,journal_article
Dean Katselas,Independently Certiﬁed Industry-speciﬁc Disclosures to the Capital Market: The JORC Code in the Australian Mining Industry,Abacus,2019,,journal_article
Dean Katselas,Know your industry: The Implications of using Static Classifications in Financial Research,Accounting and Finance,2017,,journal_article
Dean Katselas,Adoption of International Financial Reporting Standards and the Cost of Adverse Selection,Accounting and Finance,2018,,journal_article
Dean Katselas,Insider Trading in Australia: Contrarianism and Future Performance,Pacific-Basin Finance Journal,2018,,journal_article
Dean Katselas,Merging Time-Series Australian Data Across Databases: Challenges and Solutions,Accounting and Finance,2016,,journal_article
Dean Katselas,"Assisting capital formation through credible, independently-certified industry-specific disclosures, based on the JORC Code",Centre for International Finance and Regulation,2016,,journal_article
