journal_title,publisher,issn,online_issn,year_inception,field_of_research,abdc_rating,abdc_list_version,source_url
American Journal of Recreation Therapy,Weston Medical Publishing,1539-4131,,2002,3504,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Journal of Sociology,The University of Chicago Press,0002-9602,1537-5390,1895,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Law and Economics Review,Oxford University Press,1465-7252,1465-7260,1999,3801,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Political Science Review,Cambridge University Press,0003-0554,1537-5943,1906,3599,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Psychologist,American Psychological Association,0003-066X,1935-990X,1946,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Review of Political Economy,American Review of Political Economy,1551-1383,,2002,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Review of Public Administration,Sage Publications,0275-0740,1552-3357,1967,3599,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
American Sociological Review,Sage Publications,0003-1224,1939-8271,1936,3507,A*,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
AMS Review,Springer International Publishing,1869-814X,1869-8182,1997,3506,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Analisis: cuadernos de investigacion,Centre for Latin American Monetary Studies (CEMLA),0252-8851,,1977,3801,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Analytic Methods in Accident Research,Elsevier,2213-6657,2213-6665,2014,3509,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Anatolia,Taylor & Francis Online,1303-2917,2156-6909,1990,3508,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals Economy Series,Universitatea Constantin Brancusi din Targu-Jiu,1844-7007,,2009,3899,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Actuarial Science,Cambridge University Press,1748-4995,1748-5002,2006,3502,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Applied Probability,Institute of Mathematical Statistics,1050-5164,2168-8737,1991,4905,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Applied Statistics,Institute of Mathematical Statistics,1932-6157,1941-7330,2007,4905,A,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Economics and Finance,Peking University Press,1529-7373,,2000,3502,C,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Finance,Springer International Publishing,1614-2446,1614-2454,2005,3502,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
Annals of Leisure Research,Routledge,1174-5398,2159-6816,1998,3504,B,2025-v2-270526,https://abdc.edu.au/wp-content/uploads/2026/05/ABDC-JQL-2025-v2-270526.xlsx
