Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
68;100147313;"Journal of Business Finance and Accounting";journal;"0306686X, 14685957";"Wiley-Blackwell Publishing Ltd";No;No;1,202;Q1;102;101;200;7660;823;200;3,81;75,84;34,53;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2026";"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
69;20669;"Journal of Multinational Financial Management";journal;"1042444X";"Elsevier B.V.";No;No;1,199;Q1;65;21;71;1334;413;71;6,30;63,52;45,10;0;Netherlands;Western Europe;"Elsevier B.V.";"1997-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
70;17529;"Journal of Financial Services Research";journal;"15730735, 09208550";"Springer Netherlands";No;No;1,198;Q1;66;38;69;1905;256;68;4,30;50,13;31,68;3;Netherlands;Western Europe;"Springer Netherlands";"1987-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
71;6400153171;"ASTIN Bulletin";journal;"05150361, 17831350";"Cambridge University Press";No;No;1,161;Q1;53;34;91;1257;233;91;2,08;36,97;22,62;0;United Kingdom;Western Europe;"Cambridge University Press";"1958-1969, 1971-1975, 1977-1982, 1984-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
72;17499;"Journal of Empirical Finance";journal;"09275398";"Elsevier B.V.";No;No;1,139;Q1;101;66;244;3411;700;243;3,05;51,68;32,77;1;Netherlands;Western Europe;"Elsevier B.V.";"1993-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
73;14194;"Games and Economic Behavior";journal;"10902473, 08998256";"Academic Press Inc.";No;No;1,110;Q1;114;137;443;4989;580;443;1,17;36,42;20,07;1;United States;Northern America;"Academic Press Inc.";"1989-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
74;21100248934;"China Journal of Accounting Research";journal;"17553091";"Sun Yat-sen (Zhongshan) University";Yes;No;1,107;Q1;36;32;94;1906;534;94;5,95;59,56;46,07;0;China;Asiatic Region;"Sun Yat-sen (Zhongshan) University";"2013-2026";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
75;21100262310;"EuroMed Journal of Business";journal;"14502194, 1758888X";"Emerald Group Publishing Ltd.";No;No;1,099;Q1;47;121;153;9955;1340;151;7,72;82,27;41,61;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2006-2026";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
76;145078;"Accounting Forum";journal;"01559982, 14676303";"Taylor and Francis Ltd.";No;No;1,087;Q1;70;60;75;4467;434;72;5,81;74,45;35,95;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2026";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;19600166418;"Tax Policy and the Economy";book series;"15372650, 08928649";"University of Chicago Press";No;No;1,087;Q1;20;6;19;181;33;11;1,62;30,17;35,71;0;United States;Northern America;"University of Chicago Press";"2009-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
78;28034;"Accounting and Business Research";journal;"21594260, 00014788";"Routledge";No;No;1,065;Q1;77;54;104;3859;369;100;3,62;71,46;34,35;0;United Kingdom;Western Europe;"Routledge";"1970-2026";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
